"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - eval/3_speech_time_acc__MAX"
"70","0.7078125","0.7078125","0.7078125"
"140","0.73125","0.73125","0.73125"
"210","0.7609375","0.7609375","0.7609375"
"280","0.7640625","0.7640625","0.7640625"
"350","0.7796875","0.7796875","0.7796875"
"420","0.7796875","0.7796875","0.7796875"
"490","0.7921875","0.7921875","0.7921875"
"560","0.8078125","0.8078125","0.8078125"
"630","0.8125","0.8125","0.8125"
"700","0.815625","0.815625","0.815625"
"770","0.83125","0.83125","0.83125"
"840","0.83125","0.83125","0.83125"
"910","0.828125","0.828125","0.828125"
"980","0.8359375","0.8359375","0.8359375"
"1050","0.8546875","0.8546875","0.8546875"
"1120","0.86875","0.86875","0.86875"
"1190","0.8828125","0.8828125","0.8828125"
"1260","0.8828125","0.8828125","0.8828125"
"1330","0.8859375","0.8859375","0.8859375"
"1400","0.89375","0.89375","0.89375"
"1470","0.8921875","0.8921875","0.8921875"
"1540","0.8953125","0.8953125","0.8953125"
"1610","0.8984375","0.8984375","0.8984375"
"1680","0.896875","0.896875","0.896875"
"1750","0.8953125","0.8953125","0.8953125"
"1820","0.896875","0.896875","0.896875"
"1890","0.903125","0.903125","0.903125"
"1960","0.90625","0.90625","0.90625"
"2030","0.9015625","0.9015625","0.9015625"
"2100","0.8984375","0.8984375","0.8984375"
"2170","0.9046875","0.9046875","0.9046875"
"2240","0.8953125","0.8953125","0.8953125"
"2310","0.896875","0.896875","0.896875"
"2380","0.8953125","0.8953125","0.8953125"
"2450","0.8984375","0.8984375","0.8984375"
"2520","0.9046875","0.9046875","0.9046875"
"2590","0.9046875","0.9046875","0.9046875"
"2660","0.9015625","0.9015625","0.9015625"
"2730","0.90625","0.90625","0.90625"
"2800","0.909375","0.909375","0.909375"
"2870","0.9078125","0.9078125","0.9078125"
"2940","0.90625","0.90625","0.90625"
"3010","0.909375","0.909375","0.909375"
"3080","0.9078125","0.9078125","0.9078125"
"3150","0.9125","0.9125","0.9125"
"3220","0.909375","0.909375","0.909375"
"3290","0.9125","0.9125","0.9125"
"3360","0.9171875","0.9171875","0.9171875"
"3430","0.9171875","0.9171875","0.9171875"
"3500","0.9109375","0.9109375","0.9109375"
"3570","0.909375","0.909375","0.909375"
"3640","0.909375","0.909375","0.909375"
"3710","0.9125","0.9125","0.9125"
"3780","0.9109375","0.9109375","0.9109375"
"3850","0.9125","0.9125","0.9125"
"3920","0.90625","0.90625","0.90625"
"3990","0.9078125","0.9078125","0.9078125"
