"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - train_loss__MAX"
"70","11.355357142857143","11.355357142857143","11.355357142857143"
"140","4.66875","4.66875","4.66875"
"210","4.1921875","4.1921875","4.1921875"
"280","4.032589285714286","4.032589285714286","4.032589285714286"
"350","3.9479910714285715","3.9479910714285715","3.9479910714285715"
"420","3.890625","3.890625","3.890625"
"490","3.8395089285714286","3.8395089285714286","3.8395089285714286"
"560","3.7941964285714285","3.7941964285714285","3.7941964285714285"
"630","3.7357142857142858","3.7357142857142858","3.7357142857142858"
"700","3.6511160714285715","3.6511160714285715","3.6511160714285715"
"770","3.6044642857142857","3.6044642857142857","3.6044642857142857"
"840","3.5292410714285714","3.5292410714285714","3.5292410714285714"
"910","3.428125","3.428125","3.428125"
"980","3.350892857142857","3.350892857142857","3.350892857142857"
"1050","3.2933035714285714","3.2933035714285714","3.2933035714285714"
"1120","3.1991071428571427","3.1991071428571427","3.1991071428571427"
"1190","3.0919642857142855","3.0919642857142855","3.0919642857142855"
"1260","2.9578125","2.9578125","2.9578125"
"1330","2.7627232142857143","2.7627232142857143","2.7627232142857143"
"1400","2.5893973214285713","2.5893973214285713","2.5893973214285713"
"1470","2.434486607142857","2.434486607142857","2.434486607142857"
"1540","2.267857142857143","2.267857142857143","2.267857142857143"
"1610","2.2207589285714286","2.2207589285714286","2.2207589285714286"
"1680","2.131138392857143","2.131138392857143","2.131138392857143"
"1750","1.906361607142857","1.906361607142857","1.906361607142857"
"1820","2.061216517857143","2.061216517857143","2.061216517857143"
"1890","1.7759486607142858","1.7759486607142858","1.7759486607142858"
"1960","1.8099330357142858","1.8099330357142858","1.8099330357142858"
"2030","1.6799665178571428","1.6799665178571428","1.6799665178571428"
"2100","1.7743861607142857","1.7743861607142857","1.7743861607142857"
"2170","1.7166294642857143","1.7166294642857143","1.7166294642857143"
"2240","1.6909598214285715","1.6909598214285715","1.6909598214285715"
"2310","1.7412109375","1.7412109375","1.7412109375"
"2380","1.5397042410714286","1.5397042410714286","1.5397042410714286"
"2450","1.6020647321428572","1.6020647321428572","1.6020647321428572"
"2520","1.5607979910714285","1.5607979910714285","1.5607979910714285"
"2590","1.4302176339285715","1.4302176339285715","1.4302176339285715"
"2660","1.44609375","1.44609375","1.44609375"
"2730","1.4710100446428571","1.4710100446428571","1.4710100446428571"
"2800","1.3926339285714286","1.3926339285714286","1.3926339285714286"
"2870","1.281640625","1.281640625","1.281640625"
"2940","1.2360212053571429","1.2360212053571429","1.2360212053571429"
"3010","1.0619698660714285","1.0619698660714285","1.0619698660714285"
"3080","1.2521344866071429","1.2521344866071429","1.2521344866071429"
"3150","1.2266880580357142","1.2266880580357142","1.2266880580357142"
"3220","1.30419921875","1.30419921875","1.30419921875"
"3290","1.1576171875","1.1576171875","1.1576171875"
"3360","1.1065011160714286","1.1065011160714286","1.1065011160714286"
"3430","1.1314313616071427","1.1314313616071427","1.1314313616071427"
"3500","1.0701590401785714","1.0701590401785714","1.0701590401785714"
"3570","1.1218331473214285","1.1218331473214285","1.1218331473214285"
"3640","1.2648297991071429","1.2648297991071429","1.2648297991071429"
"3710","1.12236328125","1.12236328125","1.12236328125"
"3780","0.9980189732142857","0.9980189732142857","0.9980189732142857"
"3850","1.0059849330357142","1.0059849330357142","1.0059849330357142"
"3920","1.0649972098214286","1.0649972098214286","1.0649972098214286"
"3990","0.9301478794642857","0.9301478794642857","0.9301478794642857"
"4060","0.91123046875","0.91123046875","0.91123046875"
