"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - avg_distance__MAX"
"70","13.364285714285714","13.364285714285714","13.364285714285714"
"140","7.660714285714286","7.660714285714286","7.660714285714286"
"210","6.04375","6.04375","6.04375"
"280","5.703571428571428","5.703571428571428","5.703571428571428"
"350","5.668303571428571","5.668303571428571","5.668303571428571"
"420","5.791964285714286","5.791964285714286","5.791964285714286"
"490","5.916964285714286","5.916964285714286","5.916964285714286"
"560","6.086607142857143","6.086607142857143","6.086607142857143"
"630","6.246428571428571","6.246428571428571","6.246428571428571"
"700","6.3897321428571425","6.3897321428571425","6.3897321428571425"
"770","6.488392857142857","6.488392857142857","6.488392857142857"
"840","6.648214285714285","6.648214285714285","6.648214285714285"
"910","6.7683035714285715","6.7683035714285715","6.7683035714285715"
"980","6.8915178571428575","6.8915178571428575","6.8915178571428575"
"1050","7.039732142857143","7.039732142857143","7.039732142857143"
"1120","7.166071428571429","7.166071428571429","7.166071428571429"
"1190","7.265178571428572","7.265178571428572","7.265178571428572"
"1260","7.441517857142857","7.441517857142857","7.441517857142857"
"1330","7.644642857142857","7.644642857142857","7.644642857142857"
"1400","7.809375","7.809375","7.809375"
"1470","7.85625","7.85625","7.85625"
"1540","7.933482142857143","7.933482142857143","7.933482142857143"
"1610","8.065178571428572","8.065178571428572","8.065178571428572"
"1680","8.275892857142857","8.275892857142857","8.275892857142857"
"1750","8.295982142857143","8.295982142857143","8.295982142857143"
"1820","8.573214285714286","8.573214285714286","8.573214285714286"
"1890","8.604910714285714","8.604910714285714","8.604910714285714"
"1960","8.710714285714285","8.710714285714285","8.710714285714285"
"2030","8.957142857142857","8.957142857142857","8.957142857142857"
"2100","8.935714285714285","8.935714285714285","8.935714285714285"
"2170","9.089285714285714","9.089285714285714","9.089285714285714"
"2240","9.048214285714286","9.048214285714286","9.048214285714286"
"2310","9.230357142857143","9.230357142857143","9.230357142857143"
"2380","9.324553571428572","9.324553571428572","9.324553571428572"
"2450","9.353125","9.353125","9.353125"
"2520","9.541517857142857","9.541517857142857","9.541517857142857"
"2590","9.495089285714286","9.495089285714286","9.495089285714286"
"2660","9.486607142857142","9.486607142857142","9.486607142857142"
"2730","9.65625","9.65625","9.65625"
"2800","9.714285714285714","9.714285714285714","9.714285714285714"
"2870","9.766964285714286","9.766964285714286","9.766964285714286"
"2940","9.616071428571429","9.616071428571429","9.616071428571429"
"3010","9.754464285714286","9.754464285714286","9.754464285714286"
"3080","9.826785714285714","9.826785714285714","9.826785714285714"
"3150","9.760714285714286","9.760714285714286","9.760714285714286"
"3220","10.013392857142858","10.013392857142858","10.013392857142858"
"3290","9.876785714285715","9.876785714285715","9.876785714285715"
"3360","9.833035714285714","9.833035714285714","9.833035714285714"
"3430","10.007142857142858","10.007142857142858","10.007142857142858"
"3500","9.91875","9.91875","9.91875"
"3570","9.966071428571428","9.966071428571428","9.966071428571428"
"3640","10.003571428571428","10.003571428571428","10.003571428571428"
"3710","10.050892857142857","10.050892857142857","10.050892857142857"
"3780","10.17232142857143","10.17232142857143","10.17232142857143"
"3850","10.10625","10.10625","10.10625"
"3920","10.139285714285714","10.139285714285714","10.139285714285714"
"3990","10.117857142857142","10.117857142857142","10.117857142857142"
"4060","10.191071428571428","10.191071428571428","10.191071428571428"
"4130","10.144642857142857","10.144642857142857","10.144642857142857"
"4200","10.425892857142857","10.425892857142857","10.425892857142857"
"4270","10.183928571428572","10.183928571428572","10.183928571428572"
"4340","10.414285714285715","10.414285714285715","10.414285714285715"
"4410","10.267857142857142","10.267857142857142","10.267857142857142"
"4480","10.273214285714285","10.273214285714285","10.273214285714285"
"4550","10.354464285714286","10.354464285714286","10.354464285714286"
"4620","10.403571428571428","10.403571428571428","10.403571428571428"
"4690","10.349107142857143","10.349107142857143","10.349107142857143"
"4760","10.454464285714286","10.454464285714286","10.454464285714286"
"4830","10.433035714285714","10.433035714285714","10.433035714285714"
"4900","10.229464285714286","10.229464285714286","10.229464285714286"
"4970","10.45357142857143","10.45357142857143","10.45357142857143"
"5040","10.497321428571428","10.497321428571428","10.497321428571428"
