"Step","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MIN","wc_bug5_seq_di64_t24_dm192_nh12_nl10_dr0.2_optMuon_eiZ_bs100_wd0.0_lr0.0015_lrm0.0015_r1 - test_loss__MAX"
"70","5.46875","5.46875","5.46875"
"140","4.34375","4.34375","4.34375"
"210","4.125","4.125","4.125"
"280","4","4","4"
"350","3.9375","3.9375","3.9375"
"420","3.921875","3.921875","3.921875"
"490","3.859375","3.859375","3.859375"
"560","3.75","3.75","3.75"
"630","3.75","3.75","3.75"
"700","3.671875","3.671875","3.671875"
"770","3.671875","3.671875","3.671875"
"840","3.546875","3.546875","3.546875"
"910","3.453125","3.453125","3.453125"
"980","3.5","3.5","3.5"
"1050","3.421875","3.421875","3.421875"
"1120","3.234375","3.234375","3.234375"
"1190","2.9375","2.9375","2.9375"
"1260","3.015625","3.015625","3.015625"
"1330","2.640625","2.640625","2.640625"
"1400","2.53125","2.53125","2.53125"
"1470","2.4375","2.4375","2.4375"
"1540","1.8125","1.8125","1.8125"
"1610","2.265625","2.265625","2.265625"
"1680","2.34375","2.34375","2.34375"
"1750","2.25","2.25","2.25"
"1820","1.96875","1.96875","1.96875"
"1890","2.234375","2.234375","2.234375"
"1960","2.296875","2.296875","2.296875"
"2030","2.015625","2.015625","2.015625"
"2100","2.140625","2.140625","2.140625"
"2170","1.7578125","1.7578125","1.7578125"
"2240","1.8125","1.8125","1.8125"
"2310","1.1953125","1.1953125","1.1953125"
"2380","1.0625","1.0625","1.0625"
"2450","1.1328125","1.1328125","1.1328125"
"2520","1.1484375","1.1484375","1.1484375"
"2590","1.4140625","1.4140625","1.4140625"
"2660","1.3828125","1.3828125","1.3828125"
"2730","1.59375","1.59375","1.59375"
"2800","1.4609375","1.4609375","1.4609375"
"2870","1.8046875","1.8046875","1.8046875"
"2940","1.1875","1.1875","1.1875"
"3010","1.5","1.5","1.5"
"3080","1.3671875","1.3671875","1.3671875"
"3150","1.1015625","1.1015625","1.1015625"
"3220","1.1015625","1.1015625","1.1015625"
"3290","1.2109375","1.2109375","1.2109375"
"3360","1.5546875","1.5546875","1.5546875"
"3430","1.1015625","1.1015625","1.1015625"
"3500","1.4453125","1.4453125","1.4453125"
"3570","1.4609375","1.4609375","1.4609375"
"3640","1.2421875","1.2421875","1.2421875"
"3710","1.5546875","1.5546875","1.5546875"
"3780","0.90625","0.90625","0.90625"
"3850","1.0234375","1.0234375","1.0234375"
"3920","1.2890625","1.2890625","1.2890625"
"3990","0.96484375","0.96484375","0.96484375"
"4060","1.125","1.125","1.125"
"4130","1.2578125","1.2578125","1.2578125"
"4200","1.1953125","1.1953125","1.1953125"
"4270","1.015625","1.015625","1.015625"
"4340","1.171875","1.171875","1.171875"
"4410","1.1484375","1.1484375","1.1484375"
"4480","0.75390625","0.75390625","0.75390625"
"4550","1.2109375","1.2109375","1.2109375"
"4620","1.3515625","1.3515625","1.3515625"
"4690","1.3046875","1.3046875","1.3046875"
"4760","0.95703125","0.95703125","0.95703125"
"4830","0.83203125","0.83203125","0.83203125"
"4900","1.1015625","1.1015625","1.1015625"
"4970","0.84375","0.84375","0.84375"
"5040","1.0546875","1.0546875","1.0546875"
"5110","0.88671875","0.88671875","0.88671875"
"5180","1.0078125","1.0078125","1.0078125"
"5250","0.90625","0.90625","0.90625"
"5320","0.84765625","0.84765625","0.84765625"
"5390","1.2421875","1.2421875","1.2421875"
"5460","0.765625","0.765625","0.765625"
"5530","0.875","0.875","0.875"
"5600","1.3046875","1.3046875","1.3046875"
"5670","1.046875","1.046875","1.046875"
